hash,blockNumber,timestamp,date,hour,from,to,value_eth,gas_fee_eth,gas_price_gwei,gasUsed,nonce,transactionIndex,is_contract_creation,is_error,confirmations
0xcb37e02e25928656585d3a33275a25c87ee4bf52036a97c8faab374e958f474b,4371981,2017-10-16 16:29:48,2017-10-16,16,0xd4743dfcbf9606db0fc34733a63a6615132af460,0xd7a38b39cebbd766baef23febc6d367dc552bb67,0.5,0.000504,24.0,21000,3,1,False,False,19369583
0x23eab656d600a13b9f13aab28251e6c1d5b4261c38ed27db505dac9a7dde60a9,4371986,2017-10-16 16:31:39,2017-10-16,16,0xd4743dfcbf9606db0fc34733a63a6615132af460,0xd7a38b39cebbd766baef23febc6d367dc552bb67,24.5,0.000504,24.0,21000,4,13,False,False,19369578
0xf5a516fe781678168319e0c53f909ed6be1f4431fa7bb1354a7828d80c9facc0,4544678,2017-11-13 11:44:31,2017-11-13,11,0x2df854fa9a4948356955e41653f71a6ab02a3b87,0xd7a38b39cebbd766baef23febc6d367dc552bb67,104.98,0.000441,21.0,21000,0,22,False,False,19196886
0x0f9ef1fe3a1f1abde206c8e6c6abba07b7daf8c6dc66a1195b8026ef7674c198,4584840,2017-11-19 23:02:07,2017-11-19,23,0xd7a38b39cebbd766baef23febc6d367dc552bb67,0x51c272f3079319e1f10df10a106668ddba1bdeeb,0.5,0.000441,21.0,21000,9,23,False,False,19156724
0xcf804fe57a551c95184b6bc5f1c0c2551339e29ddec9a62764611828fb900452,4584886,2017-11-19 23:12:46,2017-11-19,23,0xd7a38b39cebbd766baef23febc6d367dc552bb67,0x51c272f3079319e1f10df10a106668ddba1bdeeb,49.5,0.000441,21.0,21000,10,4,False,False,19156678
0x7e415382dffb7c6ae5e0acdb9d9ce1a10a825dff721d7ec5567826006b52fdc5,4662708,2017-12-02 14:16:31,2017-12-02,14,0x267be1c1d684f78cb4f6a176c4911b741e4ffdc0,0xd7a38b39cebbd766baef23febc6d367dc552bb67,0.495,0.0002205,10.5,21000,472657,177,False,False,19078856
0x4a486cc2c516379ea388e5c11bb86cac15de651283fbd6aaf80e65b69b6deb70,4662935,2017-12-02 15:11:33,2017-12-02,15,0x267be1c1d684f78cb4f6a176c4911b741e4ffdc0,0xd7a38b39cebbd766baef23febc6d367dc552bb67,199.995,0.0002205,10.5,21000,472765,49,False,False,19078629
0xa5440d4da3c55cf896421cb1a9683bdc5fdacab0d13bab1e7c91bd712c8750bb,4670344,2017-12-03 20:47:46,2017-12-03,20,0x267be1c1d684f78cb4f6a176c4911b741e4ffdc0,0xd7a38b39cebbd766baef23febc6d367dc552bb67,40.0,0.000441,21.0,21000,476118,29,False,False,19071220
0x330690a1c94fdf10fa593d21eecc5a8ede8903c139dd4d28e764bc3fc3664c42,4688985,2017-12-07 04:42:29,2017-12-07,4,0x267be1c1d684f78cb4f6a176c4911b741e4ffdc0,0xd7a38b39cebbd766baef23febc6d367dc552bb67,224.995,0.001575,75.0,21000,492820,5,False,False,19052579
0x82101a4985b3b48bc98aebe3a5e297b402bebe0052f690525d47f5ff42c28e81,4703217,2017-12-09 15:36:14,2017-12-09,15,0xd7a38b39cebbd766baef23febc6d367dc552bb67,0xd4743dfcbf9606db0fc34733a63a6615132af460,35.0,0.001281,61.0,21000,11,63,False,False,19038347
0x2ed9bb43d81ea9e5aaa24968d66f78b18e9dc4b399442031fac0a2a07871e8c5,4713022,2017-12-11 08:11:55,2017-12-11,8,0x267be1c1d684f78cb4f6a176c4911b741e4ffdc0,0xd7a38b39cebbd766baef23febc6d367dc552bb67,224.995,0.0007875,37.5,21000,506760,17,False,False,19028542
0xb95343413e459a0f97461812111254163ae53467855c0d73e0f1e7c5b8442fa3,4719568,2017-12-12 11:17:35,2017-12-12,11,0x4f26ffbe5f04ed43630fdc30a87638d53d0b0876,,0.0,0.020297529,21.0,966549,446,85,True,False,19021994
0xb1b06122e812801972f70c899188e1ff0d61550f9b561188ec6b37c55da5014c,4753408,2017-12-18 08:40:53,2017-12-18,8,0x009be56dd91808b2ab35959a65245732c73fe871,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,0.0,0.0010897656,23.1,47176,885,54,False,False,18988154
0x5c4db66455acdf8798a771bfa55c46a851b29b7176256ccf24f414190ceae35e,4753432,2017-12-18 08:46:12,2017-12-18,8,0x004075e4d4b1ce6c48c81cc940e2bad24b489e64,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,0.0,0.0010897656,23.1,47176,708,95,False,False,18988130
0x9ef393c0e8cfa2dbb16970dab5427f19cac8439f807e3fcba89c9558e2fd9f70,4753441,2017-12-18 08:48:17,2017-12-18,8,0x0005abcbb9533cf6f9370505ffef25393e0d2852,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,0.0,0.0010897656,23.1,47176,539,75,False,False,18988121
0x45c19065bbb4b5cce4182064d7e06c13913af319d4569d7199719252394055d6,4753488,2017-12-18 09:01:40,2017-12-18,9,0x002c6a9a3151094ec5109c61dbe89b3d1d39b17a,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,0.0,0.0010897656,23.1,47176,705,70,False,False,18988074
0x8e5a9e7b34e16e6ea1246c81b8bed123cac314ed378b5839fb72a157b8e9eed6,4753499,2017-12-18 09:06:24,2017-12-18,9,0x009be56dd91808b2ab35959a65245732c73fe871,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,1.0,0.00086692,20.0,43346,887,149,False,False,18988063
0xccf78e2c6b071e274c8a128352bf7eec86c9bfb841fcf0348c523cfe6e980929,4753504,2017-12-18 09:07:27,2017-12-18,9,0x009be56dd91808b2ab35959a65245732c73fe871,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,9.0,0.00056692,20.0,28346,888,105,False,False,18988058
0x45c5532cee276c63bfbbda0ed25df7152cf7ec80fed32918d0bb6448aad22faa,4753527,2017-12-18 09:12:04,2017-12-18,9,0x004075e4d4b1ce6c48c81cc940e2bad24b489e64,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,25.0,0.00086692,20.0,43346,710,19,False,False,18988035
0x92eb9d8054ae37dc7ccd48ae6e208e4751ba66b4ed5f0910f539d663bd976978,4753531,2017-12-18 09:13:06,2017-12-18,9,0x0005abcbb9533cf6f9370505ffef25393e0d2852,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,15.0,0.00086692,20.0,43346,541,58,False,False,18988031
0xbf8b13075238b8177b1826e3b1a272b9df06134a2befac8b26951d5fa7a99790,4753922,2017-12-18 10:40:39,2017-12-18,10,0x000dcf36d188714ec52fe527d437c486d4fb24d8,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,0.0,0.000990696,21.0,47176,4,189,False,False,18987640
0x356883e4514e449d3322e29038578f1c487802e4f014205d59a016ffbdbbf92d,4753925,2017-12-18 10:42:15,2017-12-18,10,0x000dcf36d188714ec52fe527d437c486d4fb24d8,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,1.0,0.000910266,21.0,43346,5,126,False,False,18987637
0xd7f0e3295484189fcf333104ead121a488a72e39c6611bc10fb2c8149b157ade,4754434,2017-12-18 12:47:40,2017-12-18,12,0x8d44eaae757884f4f8fb4664d07acecee71cfd89,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,100.0,0.000910266,21.0,43346,125,235,False,False,18987128
