edge_id,source_id,target_id,value_normalized,hour,day_of_week,month,time_step,tx_size_category,gas_price_category
0,7847,7954.0,2.572221052187907e-07,16,0,10,0,medium,normal
1,7847,7954.0,1.2603883155720746e-05,16,0,10,0,very_large,normal
2,1759,7954.0,5.40063532117373e-05,11,0,11,27,very_large,normal
3,7954,3070.0,2.572221052187907e-07,23,6,11,34,medium,normal
4,7954,3070.0,2.5464988416660282e-05,23,6,11,34,very_large,normal
5,2092,,0.0,0,1,11,42,,low
6,2092,8069.0,0.0,1,1,11,42,,low
7,2092,8069.0,0.0,15,1,11,42,,low
8,2092,8069.0,0.0,15,1,11,42,,low
9,1673,8069.0,0.0,16,1,11,42,,normal
10,1673,8069.0,0.0,16,1,11,42,,normal
11,1673,8069.0,0.0,17,1,11,43,,normal
12,1492,7954.0,2.5464988416660283e-07,14,5,12,46,medium,low
13,1492,7954.0,0.0001028862698664641,15,5,12,46,very_large,low
14,1492,7954.0,2.057776841750326e-05,20,6,12,48,very_large,normal
15,1492,7954.0,0.00011574737512740364,4,3,12,51,very_large,high
16,7954,7847.0,1.800554736531535e-05,15,5,12,53,very_large,high
17,1492,7954.0,0.00011574737512740364,8,0,12,55,very_large,normal
18,2979,,0.0,11,1,12,56,,normal
19,58,7077.0,0.0,8,0,12,62,,normal
20,29,7077.0,0.0,8,0,12,62,,normal
21,8,7077.0,0.0,8,0,12,62,,normal
22,21,7077.0,0.0,9,0,12,62,,normal
23,58,7077.0,5.144442104375814e-07,9,0,12,62,medium,low
24,58,7077.0,4.629997893938233e-06,9,0,12,62,large,low
25,29,7077.0,1.2861105260939536e-05,9,0,12,62,very_large,low
26,8,7077.0,7.716663156563722e-06,9,0,12,62,very_large,low
27,11,7077.0,0.0,10,0,12,62,,normal
28,11,7077.0,5.144442104375814e-07,10,0,12,62,medium,normal
29,5240,7077.0,5.1444421043758145e-05,12,0,12,62,very_large,normal
30,7570,7077.0,0.0,12,0,12,62,,low
31,5240,7077.0,0.0,13,0,12,62,,normal
32,7570,7077.0,2.572221052187907e-09,13,0,12,62,micro,low
33,49,7077.0,0.0,15,0,12,62,,normal
34,49,7077.0,2.5722210521879072e-08,15,0,12,62,small,normal
35,3756,7077.0,0.0,15,0,12,62,,low
36,3756,7077.0,2.572221052187907e-07,15,0,12,62,medium,low
37,7078,7077.0,5.144442104375814e-07,15,0,12,62,medium,low
38,7078,7077.0,0.0,15,0,12,62,,low
39,728,7077.0,7.716663156563721e-07,16,0,12,63,large,normal
40,728,7077.0,0.0,16,0,12,63,,normal
41,49,7077.0,2.572221052187907e-07,16,0,12,63,medium,normal
42,1048,7077.0,0.0,17,0,12,63,,low
43,1048,7077.0,0.0,17,0,12,63,,low
44,1048,7077.0,2.572221052187907e-07,18,0,12,63,medium,low
45,5813,7077.0,4.887219999157024e-07,18,0,12,63,medium,normal
46,5813,7077.0,0.0,18,0,12,63,,normal
47,4635,7077.0,0.00015433326313127443,18,0,12,63,very_large,normal
48,4635,7077.0,0.0,18,0,12,63,,normal
49,5813,7077.0,0.0,18,0,12,63,,normal
50,8485,7077.0,0.0,18,0,12,63,,normal
51,8485,7077.0,1.5433326313127442e-07,18,0,12,63,medium,normal
52,9033,7077.0,5.1444421043758145e-05,18,0,12,63,very_large,normal
53,9033,7077.0,0.0,18,0,12,63,,normal
54,7344,7077.0,4.1155536835006514e-08,19,0,12,63,small,normal
55,949,7077.0,4.115553683500651e-09,19,0,12,63,micro,normal
56,7344,7077.0,0.0,19,0,12,63,,normal
57,949,7077.0,0.0,19,0,12,63,,normal
58,7078,7077.0,0.00011266328208583034,19,0,12,63,very_large,normal
59,8117,7077.0,0.0,19,0,12,63,,low
60,8117,7077.0,0.0,19,0,12,63,,low
61,1820,7077.0,5.144442104375814e-09,19,0,12,63,micro,low
62,1820,7077.0,0.0,19,0,12,63,,low
63,615,7077.0,0.0,19,0,12,63,,normal
64,2159,7077.0,5.144442104375814e-07,19,0,12,63,medium,normal
65,5775,7077.0,0.0,19,0,12,63,,normal
66,2159,7077.0,0.0,19,0,12,63,,normal
67,5240,7077.0,5.1444421043758145e-05,20,0,12,63,very_large,normal
68,5240,7077.0,0.0,20,0,12,63,,normal
