edge_id,source_id,target_id,transaction_hash,timestamp,date,hour,day_of_week,month,value_eth,gas_fee_eth,gas_price_gwei,time_step
0,1129,1141.0,0xcb37e02e25928656585d3a33275a25c87ee4bf52036a97c8faab374e958f474b,2017-10-16 16:29:48,2017-10-16,16,0,10,0.5,0.000504,24.0,0
1,1129,1141.0,0x23eab656d600a13b9f13aab28251e6c1d5b4261c38ed27db505dac9a7dde60a9,2017-10-16 16:31:39,2017-10-16,16,0,10,24.5,0.000504,24.0,0
2,290,1141.0,0xf5a516fe781678168319e0c53f909ed6be1f4431fa7bb1354a7828d80c9facc0,2017-11-13 11:44:31,2017-11-13,11,0,11,104.98,0.000441,21.0,27
3,1141,464.0,0x0f9ef1fe3a1f1abde206c8e6c6abba07b7daf8c6dc66a1195b8026ef7674c198,2017-11-19 23:02:07,2017-11-19,23,6,11,0.5,0.000441,21.0,34
4,1141,464.0,0xcf804fe57a551c95184b6bc5f1c0c2551339e29ddec9a62764611828fb900452,2017-11-19 23:12:46,2017-11-19,23,6,11,49.5,0.000441,21.0,34
5,253,1141.0,0x7e415382dffb7c6ae5e0acdb9d9ce1a10a825dff721d7ec5567826006b52fdc5,2017-12-02 14:16:31,2017-12-02,14,5,12,0.495,0.0002205,10.5,46
6,253,1141.0,0x4a486cc2c516379ea388e5c11bb86cac15de651283fbd6aaf80e65b69b6deb70,2017-12-02 15:11:33,2017-12-02,15,5,12,199.995,0.0002205,10.5,46
7,253,1141.0,0xa5440d4da3c55cf896421cb1a9683bdc5fdacab0d13bab1e7c91bd712c8750bb,2017-12-03 20:47:46,2017-12-03,20,6,12,40.0,0.000441,21.0,48
8,253,1141.0,0x330690a1c94fdf10fa593d21eecc5a8ede8903c139dd4d28e764bc3fc3664c42,2017-12-07 04:42:29,2017-12-07,4,3,12,224.995,0.001575,75.0,51
9,1141,1129.0,0x82101a4985b3b48bc98aebe3a5e297b402bebe0052f690525d47f5ff42c28e81,2017-12-09 15:36:14,2017-12-09,15,5,12,35.0,0.001281,61.0,53
10,253,1141.0,0x2ed9bb43d81ea9e5aaa24968d66f78b18e9dc4b399442031fac0a2a07871e8c5,2017-12-11 08:11:55,2017-12-11,8,0,12,224.995,0.0007875,37.5,55
11,456,,0xb95343413e459a0f97461812111254163ae53467855c0d73e0f1e7c5b8442fa3,2017-12-12 11:17:35,2017-12-12,11,1,12,0.0,0.020297529,21.0,56
12,30,1016.0,0xb1b06122e812801972f70c899188e1ff0d61550f9b561188ec6b37c55da5014c,2017-12-18 08:40:53,2017-12-18,8,0,12,0.0,0.0010897656,23.1,62
13,14,1016.0,0x5c4db66455acdf8798a771bfa55c46a851b29b7176256ccf24f414190ceae35e,2017-12-18 08:46:12,2017-12-18,8,0,12,0.0,0.0010897656,23.1,62
14,4,1016.0,0x9ef393c0e8cfa2dbb16970dab5427f19cac8439f807e3fcba89c9558e2fd9f70,2017-12-18 08:48:17,2017-12-18,8,0,12,0.0,0.0010897656,23.1,62
15,9,1016.0,0x45c19065bbb4b5cce4182064d7e06c13913af319d4569d7199719252394055d6,2017-12-18 09:01:40,2017-12-18,9,0,12,0.0,0.0010897656,23.1,62
16,30,1016.0,0x8e5a9e7b34e16e6ea1246c81b8bed123cac314ed378b5839fb72a157b8e9eed6,2017-12-18 09:06:24,2017-12-18,9,0,12,1.0,0.00086692,20.0,62
17,30,1016.0,0xccf78e2c6b071e274c8a128352bf7eec86c9bfb841fcf0348c523cfe6e980929,2017-12-18 09:07:27,2017-12-18,9,0,12,9.0,0.00056692,20.0,62
18,14,1016.0,0x45c5532cee276c63bfbbda0ed25df7152cf7ec80fed32918d0bb6448aad22faa,2017-12-18 09:12:04,2017-12-18,9,0,12,25.0,0.00086692,20.0,62
19,4,1016.0,0x92eb9d8054ae37dc7ccd48ae6e208e4751ba66b4ed5f0910f539d663bd976978,2017-12-18 09:13:06,2017-12-18,9,0,12,15.0,0.00086692,20.0,62
20,6,1016.0,0xbf8b13075238b8177b1826e3b1a272b9df06134a2befac8b26951d5fa7a99790,2017-12-18 10:40:39,2017-12-18,10,0,12,0.0,0.000990696,21.0,62
21,6,1016.0,0x356883e4514e449d3322e29038578f1c487802e4f014205d59a016ffbdbbf92d,2017-12-18 10:42:15,2017-12-18,10,0,12,1.0,0.000910266,21.0,62
22,773,1016.0,0xd7f0e3295484189fcf333104ead121a488a72e39c6611bc10fb2c8149b157ade,2017-12-18 12:47:40,2017-12-18,12,0,12,100.0,0.000910266,21.0,62
23,1081,1016.0,0x1c7cfc6ad434a24709f552627b254642fffe5e3784470695f8e2920c660f4fa6,2017-12-18 12:59:46,2017-12-18,12,0,12,0.0,0.000566112,12.0,62
24,773,1016.0,0xbd2a7237fd4ef25a4ba3c9974d14801f00b53e5259ef91e08f48424e194cf181,2017-12-18 13:01:00,2017-12-18,13,0,12,0.0,0.000990696,21.0,62
25,1081,1016.0,0xb73fe93fcfb57e1661d457ce62f4c198e17177e24b74d23b00578948d2509e33,2017-12-18 13:03:47,2017-12-18,13,0,12,0.005,0.000520152,12.0,62
26,26,1016.0,0xf0530056a3fd451fc3263a6081f262b8d1c6fc097da52fe250c59351a5b43b0c,2017-12-18 15:11:27,2017-12-18,15,0,12,0.0,0.00130771872,27.72,62
27,26,1016.0,0x53cac7052e47f9aabb3af8ee2f86a1c6bf00ad621356bf5d88c59f5ba8088426,2017-12-18 15:12:21,2017-12-18,15,0,12,0.05,0.00130038,30.0,62
28,549,1016.0,0xed525a68085b3eccdc18b2ea3bc5d997871896eb831cdf241618816dc4877f51,2017-12-18 15:16:23,2017-12-18,15,0,12,0.0,0.00047176,10.0,62
29,549,1016.0,0x8271131d3b759873961fcc268d89cab04478918576ea005dd577118f6a93e002,2017-12-18 15:16:36,2017-12-18,15,0,12,0.5,0.00043346,10.0,62
30,1017,1016.0,0xc06444135a146ea1666b4ceb1fe8a8cdb3562f4421ad428242b36f4deb217f0d,2017-12-18 15:47:35,2017-12-18,15,0,12,1.0,0.00021673,5.0,62
31,1017,1016.0,0x7c31c1251d3e2786db61c2d0f506038f473a5b04de8cdceeeafff093ecd6a1ab,2017-12-18 15:57:31,2017-12-18,15,0,12,0.0,0.000283056,6.0,62
