address,node_id,in_degree,total_received,first_received,last_received,out_degree,total_sent,first_sent,last_sent,total_degree,first_activity,last_activity,activity_days,net_balance,node_type
0x0000000000085d4780b73119b644ae5ecd22b376,0,64,0.0,2019-08-03 00:52:57,2021-05-22 08:18:46,0,0.0,,,64,2019-08-03 00:52:57,2021-05-22 08:18:46,658,0.0,hub
0x00000c07575bb4e64457687a0382b4d3ea470000,1,152,17.002536662548067,2023-07-04 12:43:47,2025-10-27 15:48:47,384,73.47181226452508,2023-07-04 22:13:35,2025-10-23 15:17:11,536,2023-07-04 12:43:47,2025-10-27 15:48:47,846,-56.46927560197702,hub
0x000019ef40f8eaab40a233906a5d428418920000,2,0,0.0,,,1,0.0009825328658179,2024-05-05 15:30:59,2024-05-05 15:30:59,1,2024-05-05 15:30:59,2024-05-05 15:30:59,0,-0.0009825328658179,source_only
0x00009b95f379d40a69b4334e9334535266a40000,3,1,0.003193,2024-05-05 14:21:23,2024-05-05 14:21:23,0,0.0,,,1,2024-05-05 14:21:23,2024-05-05 14:21:23,0,0.003193,sink_only
0x000114084c27488b854a5a3c07c38dcc379a3053,4,0,0.0,,,1,0.0,2018-11-15 17:32:49,2018-11-15 17:32:49,1,2018-11-15 17:32:49,2018-11-15 17:32:49,0,0.0,source_only
0x000155d2ddd2a897ff3a79e4c3089b97517530f5,5,0,0.0,,,1,1.0,2018-03-25 04:30:34,2018-03-25 04:30:34,1,2018-03-25 04:30:34,2018-03-25 04:30:34,0,-1.0,source_only
0x00022cbef52bb7ae7f7bfe0cd1432897f939d000,6,1,0.0031803749662085,2023-07-12 18:37:47,2023-07-12 18:37:47,0,0.0,,,1,2023-07-12 18:37:47,2023-07-12 18:37:47,0,0.0031803749662085,sink_only
0x0003a62b246185267761aa7c574790bb18879aa2,7,0,0.0,,,2,1.027e-15,2023-08-05 10:01:23,2023-08-06 01:50:59,2,2023-08-05 10:01:23,2023-08-06 01:50:59,0,-1.027e-15,source_only
0x0005abcbb9533cf6f9370505ffef25393e0d2852,8,0,0.0,,,14,25.0,2017-12-18 08:48:17,2018-01-05 14:49:22,14,2017-12-18 08:48:17,2018-01-05 14:49:22,18,-25.0,source_only
0x00063ddb30be7bc2292583d5f143e9d6e6228440,9,0,0.0,,,1,0.2,2021-12-17 01:11:08,2021-12-17 01:11:08,1,2021-12-17 01:11:08,2021-12-17 01:11:08,0,-0.2,source_only
0x000817415963a38c16ba6ccc98f4002684c97697,10,0,0.0,,,3,0.035,2017-12-22 09:21:21,2017-12-29 14:17:21,3,2017-12-22 09:21:21,2017-12-29 14:17:21,7,-0.035,source_only
0x000dcf36d188714ec52fe527d437c486d4fb24d8,11,0,0.0,,,6,1.2,2017-12-18 10:40:39,2018-01-15 09:57:30,6,2017-12-18 10:40:39,2018-01-15 09:57:30,27,-1.2,source_only
